Category: All categories

Month,diet: (Worldwide),gym: (Worldwide),finance: (Worldwide)
2004-01,100,31,48
2004-02,76,27,50
2004-03,71,25,46
2004-04,72,23,47
2004-05,76,23,44
2004-06,67,24,45
2004-07,64,25,45
2004-08,59,27,44
2004-09,57,27,46
2004-10,54,24,44
2004-11,51,24,44
2004-12,45,25,42
2005-01,65,33,45
2005-02,56,28,48
2005-03,58,27,46
2005-04,57,25,44
2005-05,59,25,44
2005-06,55,25,44
2005-07,53,25,43
2005-08,53,28,45
2005-09,47,28,45
2005-10,48,26,45
2005-11,44,25,43
2005-12,39,25,40
2006-01,65,34,45
2006-02,52,29,46
2006-03,51,28,48
2006-04,51,26,47
2006-05,51,26,46
2006-06,53,26,45
2006-07,51,28,45
2006-08,50,31,45
2006-09,46,31,47
2006-10,43,28,47
2006-11,44,27,44
2006-12,37,27,41
2007-01,59,36,49
2007-02,50,33,49
2007-03,52,32,49
2007-04,54,32,49
2007-05,49,33,48
2007-06,50,31,47
2007-07,49,32,51
2007-08,46,32,54
2007-09,46,33,51
2007-10,44,28,52
2007-11,40,28,51
2007-12,36,27,45
2008-01,54,36,55
2008-02,47,30,51
2008-03,47,29,53
2008-04,48,29,53
2008-05,46,27,49
2008-06,44,28,51
2008-07,45,28,53
2008-08,45,32,49
2008-09,42,33,63
2008-10,43,29,74
2008-11,40,28,59
2008-12,37,28,54
2009-01,53,36,55
2009-02,47,31,58
2009-03,49,29,61
2009-04,49,29,59
2009-05,48,28,56
2009-06,48,28,55
2009-07,47,29,57
2009-08,49,31,58
2009-09,45,31,60
2009-10,44,28,56
2009-11,43,28,52
2009-12,40,27,48
2010-01,59,36,52
2010-02,51,32,54
2010-03,52,31,55
2010-04,53,30,57
2010-05,51,29,54
2010-06,48,29,53
2010-07,50,30,52
2010-08,50,32,52
2010-09,48,33,54
2010-10,46,29,52
2010-11,44,29,51
2010-12,41,29,47
2011-01,61,39,51
2011-02,54,34,52
2011-03,54,34,52
2011-04,60,32,51
2011-05,57,32,50
2011-06,55,32,48
2011-07,55,32,48
2011-08,52,34,59
2011-09,50,36,53
2011-10,50,34,50
2011-11,49,34,48
2011-12,45,32,42
2012-01,65,44,47
2012-02,58,39,49
2012-03,57,36,48
2012-04,57,35,46
2012-05,55,34,48
2012-06,55,36,44
2012-07,56,36,45
2012-08,56,38,45
2012-09,53,39,47
2012-10,48,35,47
2012-11,45,33,44
2012-12,42,33,40
2013-01,66,44,48
2013-02,59,40,48
2013-03,58,39,46
2013-04,60,39,48
2013-05,57,37,47
2013-06,56,38,44
2013-07,55,39,47
2013-08,53,40,46
2013-09,52,40,48
2013-10,48,39,49
2013-11,46,38,44
2013-12,42,37,40
2014-01,63,48,46
2014-02,55,44,48
2014-03,55,43,47
2014-04,55,41,47
2014-05,52,39,44
2014-06,50,40,44
2014-07,48,40,46
2014-08,47,42,46
2014-09,47,42,50
2014-10,44,39,49
2014-11,42,38,44
2014-12,40,39,43
2015-01,57,51,46
2015-02,49,45,47
2015-03,51,45,47
2015-04,51,43,47
2015-05,49,43,44
2015-06,49,43,45
2015-07,47,43,48
2015-08,47,44,48
2015-09,44,45,49
2015-10,42,41,46
2015-11,40,42,43
2015-12,38,42,41
2016-01,54,53,45
2016-02,48,47,46
2016-03,48,47,45
2016-04,50,47,44
2016-05,48,46,43
2016-06,45,48,46
2016-07,45,58,42
2016-08,46,55,43
2016-09,43,51,44
2016-10,41,45,42
2016-11,39,45,44
2016-12,37,44,39
2017-01,56,58,43
2017-02,58,52,45
2017-03,52,50,46
2017-04,49,49,43
2017-05,49,48,45
2017-06,48,50,42
2017-07,51,53,44
2017-08,47,51,44
2017-09,45,51,48
2017-10,45,49,46
2017-11,43,48,48
2017-12,40,47,52
2018-01,60,59,56
2018-02,54,52,50
2018-03,56,52,50
2018-04,58,50,48
2018-05,56,49,46
2018-06,52,49,44
2018-07,54,51,46
2018-08,52,52,47
2018-09,48,52,46
2018-10,46,47,49
2018-11,44,48,44
2018-12,43,49,41
2019-01,65,59,46
2019-02,54,54,48
2019-03,54,52,46
2019-04,55,49,46
2019-05,48,48,49
2019-06,48,52,47
2019-07,49,52,49
2019-08,46,53,57
2019-09,45,53,51
2019-10,43,48,51
2019-11,43,51,51
2019-12,38,50,49
2020-01,55,61,54
2020-02,48,56,61
2020-03,34,51,76
2020-04,36,37,66
2020-05,44,39,63
2020-06,43,43,68
2020-07,44,44,63
